Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
26793,57,0.754385965,228,0.684210526,1508,0.831564987,49,Skrtel,Martin
26900,25,0.8,260,0.330769231,851,0.736780259,24,Odemwingie,Peter
27258,23,0.695652174,73,0.465753425,530,0.841509434,15,Anderson,0
27341,117,0.709401709,272,0.555147059,1584,0.760732323,89,Cabaye,Yohan
27348,12,0.916666667,49,0.551020408,229,0.733624454,7,Tamas,Gabriel
27440,8,1,83,0.301204819,276,0.742753623,11,Cox,Simon
27450,32,0.875,361,0.404432133,796,0.675879397,12,Agbonlahor,Gabriel
27696,51,0.647058824,161,0.51552795,367,0.754768392,40,Muamba,Fabrice
27697,19,0.526315789,334,0.398203593,911,0.727771679,8,Bendtner,Nicklas
27698,18,0.666666667,35,0.714285714,124,0.758064516,8,Connolly,Matthew
27707,23,0.826086957,62,0.467741935,553,0.846292948,22,Gibson,Darron
28097,16,0.8125,69,0.492753623,432,0.835648148,10,Kranjcar,Niko
28146,62,0.709677419,272,0.544117647,2112,0.777935606,92,Assou-Ekotto,Benoit
28147,84,0.726190476,296,0.496621622,752,0.823138298,26,Diam�,Mohamed
28157,6,1,71,0.295774648,157,0.757961783,7,Goodwillie,David
28183,35,0.8,141,0.503546099,683,0.629575403,42,Steinsson,Gr�tar
28301,67,0.671641791,348,0.41954023,1424,0.821629213,60,Cheik Tiot�,0
28448,85,0.717647059,266,0.484962406,860,0.811627907,75,Cattermole,Lee
28468,74,0.72972973,244,0.495901639,951,0.767613039,38,Gardner,Craig
28491,1,0,8,0.5,968,0.622933884,0,Al-Habsi,Ali
28495,36,0.833333333,162,0.543209877,1089,0.90174472,33,Mikel,John Obi
28499,53,0.622641509,267,0.490636704,1281,0.839188134,33,Hoolahan,Wes
28541,12,0.75,95,0.4,157,0.732484076,7,Campbell,Fraizer
28554,17,0.647058824,195,0.323076923,1805,0.852631579,28,Nasri,Samir
28566,1,0,22,0.454545455,70,0.871428571,2,Abou Diaby,Vassiriki
28568,23,0.913043478,146,0.445205479,1325,0.778867925,27,O'Hara,Jamie
28593,4,1,78,0.397435897,130,0.569230769,2,Anichebe,Victor
28654,39,0.743589744,195,0.579487179,785,0.686624204,46,Martin Olsson,0
32318,80,0.7375,286,0.513986014,1023,0.630498534,40,Wilson,Marc
